date,vaccine_type,vaccine_count
07/04/2021,Cansino,0
08/04/2021,Pfizer,20671
08/04/2021,Sinovac,6231
08/04/2021,Astra,0
08/04/2021,Sinopharm,0
08/04/2021,Cansino,0
09/04/2021,Pfizer,18739
09/04/2021,Sinovac,2885
09/04/2021,Astra,0
09/04/2021,Sinopharm,0
09/04/2021,Cansino,3
10/04/2021,Pfizer,13883
10/04/2021,Sinovac,1860
10/04/2021,Astra,0
10/04/2021,Sinopharm,0
10/04/2021,Cansino,0
11/04/2021,Pfizer,20930
11/04/2021,Sinovac,2266
11/04/2021,Astra,0
11/04/2021,Sinopharm,0
11/04/2021,Cansino,0
12/04/2021,Pfizer,36543
12/04/2021,Sinovac,2791
12/04/2021,Astra,0
12/04/2021,Sinopharm,0
12/04/2021,Cansino,0
13/04/2021,Pfizer,19823
13/04/2021,Sinovac,4694
13/04/2021,Astra,0
13/04/2021,Sinopharm,0
13/04/2021,Cansino,0
14/04/2021,Pfizer,25279
14/04/2021,Sinovac,3422
14/04/2021,Astra,0
14/04/2021,Sinopharm,0
14/04/2021,Cansino,0
15/04/2021,Pfizer,23016
15/04/2021,Sinovac,4259
15/04/2021,Astra,0
15/04/2021,Sinopharm,0
15/04/2021,Cansino,0
16/04/2021,Pfizer,16194
16/04/2021,Sinovac,3363
16/04/2021,Astra,0
16/04/2021,Sinopharm,0
16/04/2021,Cansino,0
17/04/2021,Pfizer,7685
17/04/2021,Sinovac,2005
17/04/2021,Astra,0
17/04/2021,Sinopharm,0
17/04/2021,Cansino,0
18/04/2021,Pfizer,8960
18/04/2021,Sinovac,964
18/04/2021,Astra,0
18/04/2021,Sinopharm,0
18/04/2021,Cansino,0
19/04/2021,Pfizer,30107
19/04/2021,Sinovac,3060
19/04/2021,Astra,1
19/04/2021,Sinopharm,0
19/04/2021,Cansino,0
20/04/2021,Pfizer,27871
20/04/2021,Sinovac,5503
20/04/2021,Astra,0
20/04/2021,Sinopharm,0
20/04/2021,Cansino,0
21/04/2021,Pfizer,22705
21/04/2021,Sinovac,5018
21/04/2021,Astra,0
21/04/2021,Sinopharm,0
21/04/2021,Cansino,0
22/04/2021,Pfizer,24077
22/04/2021,Sinovac,5497
22/04/2021,Astra,0
22/04/2021,Sinopharm,0
22/04/2021,Cansino,0
23/04/2021,Pfizer,15036
23/04/2021,Sinovac,3881
23/04/2021,Astra,0
23/04/2021,Sinopharm,0
23/04/2021,Cansino,0
24/04/2021,Pfizer,9599
24/04/2021,Sinovac,1784
24/04/2021,Astra,0
24/04/2021,Sinopharm,0
24/04/2021,Cansino,0
25/04/2021,Pfizer,12284
25/04/2021,Sinovac,2568
25/04/2021,Astra,0
25/04/2021,Sinopharm,0
25/04/2021,Cansino,0
26/04/2021,Pfizer,25115
26/04/2021,Sinovac,5202
26/04/2021,Astra,0
26/04/2021,Sinopharm,0
26/04/2021,Cansino,0
27/04/2021,Pfizer,28771
27/04/2021,Sinovac,5951
27/04/2021,Astra,0
27/04/2021,Sinopharm,0
27/04/2021,Cansino,0
28/04/2021,Pfizer,31298
28/04/2021,Sinovac,8439
28/04/2021,Astra,0
28/04/2021,Sinopharm,0
28/04/2021,Cansino,0
29/04/2021,Pfizer,9509
29/04/2021,Sinovac,3030
29/04/2021,Astra,0
29/04/2021,Sinopharm,0
29/04/2021,Cansino,0
30/04/2021,Pfizer,22983
30/04/2021,Sinovac,3736
30/04/2021,Astra,0
30/04/2021,Sinopharm,0
30/04/2021,Cansino,0
01/05/2021,Pfizer,4917
01/05/2021,Sinovac,586
01/05/2021,Astra,0
01/05/2021,Sinopharm,0
01/05/2021,Cansino,0
02/05/2021,Pfizer,13990
02/05/2021,Sinovac,1792
02/05/2021,Astra,0
02/05/2021,Sinopharm,0
02/05/2021,Cansino,0
03/05/2021,Pfizer,45052
03/05/2021,Sinovac,5519
03/05/2021,Astra,718
03/05/2021,Sinopharm,0
03/05/2021,Cansino,0
04/05/2021,Pfizer,42365
04/05/2021,Sinovac,7482
04/05/2021,Astra,2
04/05/2021,Sinopharm,0
